Name, "Número atómico", "Símbolo", "Masa", "Masa exacta", "Ionización", "Afinidad electrónica", "Electronegatividad", "Radio covalente", "Radio de Van der Waals", "Punto de fusión", "Punto de ebullición", "Familia"
"Hidrógeno", "1", "H", "1,00794 u", "1.007825032", "13.6 eV", "0.7542 eV", "2,2", "37 pm", "120 pm", "14.01 K", "20.28 K", "Non-Metal"
"Helio", "2", "He", "4,0026 u", "4.002603254", "24.59 eV", "0 eV", "Valor no definido", "32 pm", "140 pm", "0.95 K", "4.216 K", "Noblegas"
"Berilio", "4", "Be", "9,01218 u", "9.0121822", "9.323 eV", "0 eV", "1,57", "90 pm", "190 pm", "1560 K", "3243 K", "Alkaline_Earth"
"Litio", "3", "Li", "6,941 u", "7.01600455", "5.392 eV", "0.618 eV", "0,98", "134 pm", "220 pm", "453.7 K", "1615 K", "Alkali_Earth"
"Boro", "5", "B", "10,811 u", "11.0093054", "8.298 eV", "0.2797 eV", "2,04", "82 pm", "180 pm", "2365 K", "4275 K", "Metalloids"
"Carbono", "6", "C", "12,0107 u", "12", "11.26 eV", "1.262 eV", "2,55", "77 pm", "170 pm", "3825 K", "5100 K", "Non-Metal"
"Nitrógeno", "7", "N", "14,0067 u", "14.003074", "14.53 eV", "-0.07 eV", "3,04", "75 pm", "160 pm", "63.15 K", "77.34 K", "Non-Metal"
"Oxígeno", "8", "O", "15,9994 u", "15.99491462", "13.62 eV", "1.461 eV", "3,44", "73 pm", "155 pm", "54.8 K", "90.19 K", "Non-Metal"
"Cloro", "17", "Cl", "35,453 u", "34.96885268", "12.97 eV", "3.613 eV", "3,16", "99 pm", "180 pm", "172.2 K", "239.2 K", "Halogen"
"Azufre", "16", "S", "32,065 u", "31.972071", "10.36 eV", "2.077 eV", "2,58", "102 pm", "180 pm", "392.2 K", "717.8 K", "Non-Metal"
"Silicio", "14", "Si", "28,0855 u", "27.97692653", "8.152 eV", "1.39 eV", "1,9", "111 pm", "210 pm", "1683 K", "2630 K", "Metalloids"
"Aluminio", "13", "Al", "26,9815 u", "26.98153863", "5.986 eV", "0.4328 eV", "1,61", "118 pm", "210 pm", "933.5 K", "2740 K", "Other_Metal"
"Neón", "10", "Ne", "20,1797 u", "19.99244018", "21.56 eV", "0 eV", "Valor no definido", "69 pm", "154 pm", "24.55 K", "27.1 K", "Noblegas"
"Flúor", "9", "F", "18,9984 u", "18.99840322", "17.42 eV", "3.401 eV", "3,98", "71 pm", "150 pm", "53.55 K", "85 K", "Halogen"
